customer_id,is_fraud,ring_id,pattern
cust_0001,False,,none
cust_0002,True,ring_05,fraud_ring
cust_0003,False,,none
cust_0004,False,,none
cust_0005,False,,none
cust_0006,False,,none
cust_0007,False,,none
cust_0008,False,,none
cust_0009,False,,none
cust_0010,False,,none
cust_0011,False,,none
cust_0012,False,,none
cust_0013,False,,none
cust_0014,False,,none
cust_0015,False,,none
cust_0016,False,,none
cust_0017,False,,none
cust_0018,False,,none
cust_0019,False,,none
cust_0020,False,,none
cust_0021,False,,none
cust_0022,False,,none
cust_0023,False,,none
cust_0024,False,,none
cust_0025,False,,none
cust_0026,False,,none
cust_0027,False,,none
cust_0028,False,,none
cust_0029,False,,none
cust_0030,False,,none
cust_0031,False,,none
cust_0032,False,,none
cust_0033,False,,none
cust_0034,False,,none
cust_0035,False,,none
cust_0036,True,ring_04,fraud_ring
cust_0037,False,,none
cust_0038,False,,none
cust_0039,False,,none
cust_0040,False,,none
cust_0041,False,,none
cust_0042,False,,none
cust_0043,False,,none
cust_0044,False,,none
cust_0045,False,,none
cust_0046,False,,none
cust_0047,False,,none
cust_0048,False,,none
cust_0049,False,,none
cust_0050,False,,none
cust_0051,False,,none
cust_0052,False,,none
cust_0053,False,,none
cust_0054,False,,none
cust_0055,False,,none
cust_0056,False,,none
cust_0057,False,,none
cust_0058,False,,none
cust_0059,False,,none
cust_0060,False,,none
cust_0061,False,,none
cust_0062,False,,none
cust_0063,False,,none
cust_0064,False,,none
cust_0065,False,,none
cust_0066,False,,none
cust_0067,False,,none
cust_0068,False,,none
cust_0069,False,,none
cust_0070,True,ring_04,fraud_ring
cust_0071,False,,none
cust_0072,False,,none
cust_0073,False,,none
cust_0074,False,,none
cust_0075,True,ring_03,fraud_ring
cust_0076,False,,none
cust_0077,False,,none
cust_0078,False,,none
cust_0079,True,ring_01,fraud_ring
cust_0080,False,,none
cust_0081,False,,none
cust_0082,False,,benign_shared_device
cust_0083,False,,none
cust_0084,False,,none
cust_0085,False,,none
cust_0086,False,,none
cust_0087,False,,none
cust_0088,False,,none
cust_0089,False,,none
cust_0090,False,,none
cust_0091,False,,none
cust_0092,False,,none
cust_0093,False,,none
cust_0094,False,,none
cust_0095,False,,none
cust_0096,False,,none
cust_0097,False,,none
cust_0098,False,,none
cust_0099,True,ring_03,fraud_ring
cust_0100,False,,none
cust_0101,False,,none
cust_0102,False,,none
cust_0103,False,,none
cust_0104,False,,benign_shared_device
cust_0105,False,,none
cust_0106,False,,none
cust_0107,False,,none
cust_0108,False,,none
cust_0109,False,,none
cust_0110,False,,none
cust_0111,False,,none
cust_0112,False,,none
cust_0113,False,,none
cust_0114,False,,none
cust_0115,False,,none
cust_0116,False,,none
cust_0117,False,,none
cust_0118,False,,none
cust_0119,False,,none
cust_0120,False,,none
cust_0121,False,,none
cust_0122,False,,none
cust_0123,False,,none
cust_0124,False,,none
cust_0125,False,,none
cust_0126,True,ring_02,fraud_ring
cust_0127,False,,none
cust_0128,False,,none
cust_0129,False,,none
cust_0130,False,,none
cust_0131,False,,none
cust_0132,False,,benign_shared_device
cust_0133,False,,none
cust_0134,False,,none
cust_0135,False,,none
cust_0136,False,,none
cust_0137,False,,none
cust_0138,False,,none
cust_0139,False,,none
cust_0140,False,,none
cust_0141,True,ring_02,fraud_ring
cust_0142,False,,none
cust_0143,False,,none
cust_0144,True,ring_05,fraud_ring
cust_0145,False,,none
cust_0146,False,,none
cust_0147,True,ring_04,fraud_ring
cust_0148,False,,none
cust_0149,False,,none
cust_0150,True,ring_01,fraud_ring
cust_0151,False,,none
cust_0152,False,,none
cust_0153,False,,none
cust_0154,False,,none
cust_0155,False,,none
cust_0156,False,,none
cust_0157,False,,none
cust_0158,False,,none
cust_0159,False,,none
cust_0160,False,,none
cust_0161,False,,none
cust_0162,False,,none
cust_0163,False,,none
cust_0164,True,ring_06,fraud_ring
cust_0165,False,,none
cust_0166,False,,none
cust_0167,False,,none
cust_0168,False,,none
cust_0169,False,,none
cust_0170,False,,none
cust_0171,False,,none
cust_0172,False,,none
cust_0173,False,,none
cust_0174,False,,none
cust_0175,False,,none
cust_0176,False,,none
cust_0177,False,,none
cust_0178,False,,benign_shared_device
cust_0179,False,,none
cust_0180,False,,none
cust_0181,False,,none
cust_0182,False,,none
cust_0183,False,,none
cust_0184,True,ring_05,fraud_ring
cust_0185,False,,benign_shared_device
cust_0186,False,,none
cust_0187,False,,none
cust_0188,False,,none
cust_0189,False,,none
cust_0190,False,,none
cust_0191,False,,benign_shared_device
cust_0192,False,,none
cust_0193,False,,none
